159.89.127.171 - - [26/Aug/2021:16:27:53 +0000] "HEAD / HTTP/1.0" 200 42 "-" "-"
159.89.127.171 - - [26/Aug/2021:16:27:54 +0000] "GET /system_api.php HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
159.89.127.171 - - [26/Aug/2021:16:27:54 +0000] "GET /c/version.js HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
159.89.127.171 - - [26/Aug/2021:16:27:54 +0000] "GET /streaming/clients_live.php HTTP/1.1" 404 165 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
159.89.127.171 - - [26/Aug/2021:16:27:55 +0000] "GET /stalker_portal/c/version.js HTTP/1.1" 404 166 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
159.89.127.171 - - [26/Aug/2021:16:27:55 +0000] "GET /stream/live.php HTTP/1.1" 404 154 "-" "AlexaMediaPlayer/2.1.4676.0 (Linux;Android 5.1.1) ExoPlayerLib/1.5.9"
159.89.127.171 - - [26/Aug/2021:16:27:56 +0000] "GET /flu/403.html HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
74.120.14.114 - - [27/Aug/2021:15:46:05 +0000] "GET / HTTP/1.1" 200 42 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
35.237.4.214 - - [28/Aug/2021:13:04:04 +0000] "GET / HTTP/1.1" 200 42 "-" "Mozilla/5.0 (compatible; Discordbot/2.0; +https://discordapp.com)"
1.254.203.167 - - [28/Aug/2021:13:04:08 +0000] "GET / HTTP/1.1" 200 42 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
1.254.203.167 - - [28/Aug/2021:13:04:08 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://180.83.98.139:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.229 Whale/2.10.123.42 Safari/537.36"
